authfull,inst_name,cntry,np6021,firstyr,lastyr,rank (ns),nc9621 (ns),h21 (ns),hm21 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6021 cited9621 (ns),self%,rank,nc9621,h21,hm21,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6021 cited9621,np6021_d,nc9621_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Cantwell, Wesley J.",Khalifa University of Science and Technology,are,363,1983,2023,26908,9281,46,30.10515873,9,206,52,2617,230,6373,3.886908723,6479,1.432474147,291,0.1307,26907,10676,52,32.30515873,9,221,52,2741,230,7077,3.933140138,6944,1.537442396,300,6,246,Materials,0.683195592,Mechanical Engineering & Transports,0.115702479,Enabling & Strategic Technologies,0.732782369,314,308,267149
"Kamal-Eldin, Afaf",United Arab Emirates University,are,194,1991,2022,29352,9408,51,24.63449883,10,204,45,2999,117,5366,3.86172983,7123,1.320791801,178,0.1408,29263,10950,58,26.48092741,10,207,45,3211,117,6020,3.908522695,7508,1.458444326,182,1,147,Nutrition & Dietetics,0.352331606,Food Science,0.32642487,Biomedical Research,0.450777202,218,225,44337
"Abu-Nada, Eiyad",Khalifa University of Science and Technology,are,110,1998,2022,30225,6335,32,21.46785714,18,1073,40,2931,73,4981,3.853177605,4387,1.444039207,97,0.1077,29969,7100,34,23.71785714,18,1194,40,3234,73,5557,3.901440814,4684,1.515798463,102,0,137,Mechanical Engineering & Transports,0.481818182,Energy,0.227272727,Engineering,0.509090909,187,172,125973
"Hilal, Nidal",NYU Abu Dhabi,are,367,1994,2022,31079,17997,63,33.8734127,5,13,57,2308,268,13957,3.844430376,13848,1.299610052,330,0.0949,29731,19883,68,35.36432179,5,20,57,2544,268,15180,3.903665768,14490,1.372187716,337,0,206,Chemical Engineering,0.728531856,Chemical Physics,0.055401662,Engineering,0.817174515,108,111,67880
"Bansal, R. C.",University of Sharjah,are,327,2002,2022,32701,7614,39,22.52857143,14,785,33,1323,225,5574,3.829547068,6773,1.124169497,254,0.1364,30493,8817,44,25.1452381,14,861,33,1500,225,6484,3.896627155,7258,1.214797465,275,2,245,Energy,0.616099071,Electrical & Electronic Engineering,0.145510836,Enabling & Strategic Technologies,0.705882353,313,343,265592
"Seghier, Mohamed L.",Khalifa University of Science and Technology,are,112,1999,2022,33960,6760,42,17.19921745,7,1054,43,2781,52,3115,3.817664953,5873,1.151030138,103,0.1274,33579,7747,48,18.62614053,7,1063,43,3091,52,3471,3.868537636,6353,1.219423894,107,0,17,Neurology & Neurosurgery,0.702702703,Experimental Psychology,0.18018018,Clinical Medicine,0.765765766,2496,2549,305851
"Adrian, Thomas E.",Mohammed Bin Rashid University of Medicine and Health Sciences,are,476,1971,2022,37384,11468,53,23.86050894,17,87,79,2100,214,6105,3.788164051,8686,1.320285517,403,0.1155,38222,12966,57,25.43193751,17,90,79,2405,214,6942,3.829498898,9316,1.391799055,409,0,94,Gastroenterology & Hepatology,0.296842105,Surgery,0.132631579,Clinical Medicine,0.861052632,568,571,95371
"Masmoudi, Nader",NYU Abu Dhabi,are,147,1997,2022,38821,4215,39,28.66666667,14,623,44,1286,122,3584,3.776133704,2496,1.688701923,136,0.1558,36993,4993,42,31.91666667,14,693,44,1477,122,4222,3.839404301,2772,1.801226551,141,0,4,General Mathematics,0.700680272,Applied Mathematics,0.210884354,Mathematics & Statistics,0.93877551,127,136,61457
"Shao, Ling",Inception Institute of Artificial Intelligence,are,605,1990,2022,39753,16214,60,31.71666667,7,14,57,1717,403,9886,3.768836712,13040,1.243404908,491,0.1235,35693,18498,65,34.42923772,7,22,57,1981,403,11454,3.849857076,13966,1.324502363,518,2,234,Artificial Intelligence & Image Processing,0.797678275,Networking & Telecommunications,0.036484245,Information & Communication Technologies,0.903814262,640,742,321592
"Toussaint, Godfried T.",NYU Abu Dhabi,are,251,1969,2019,40606,3792,26,21.18452381,78,1852,96,1947,226,3605,3.76201686,3217,1.178737955,188,0.0871,44183,4154,28,21.71634199,78,1942,96,2059,226,3889,3.785267963,3348,1.240740741,207,1,59,Artificial Intelligence & Image Processing,0.35059761,Computation Theory & Mathematics,0.22310757,Information & Communication Technologies,0.77689243,792,756,321592
"Messaoudi, Salim",University of Sharjah,are,182,1990,2022,43165,3444,30,23.66666667,24,949,84,2141,156,3168,3.743158277,1271,2.709677419,159,0.2268,36136,4454,36,26,24,1083,84,2707,156,4065,3.846318082,1468,3.034059946,163,2,55,Applied Mathematics,0.373626374,General Mathematics,0.368131868,Mathematics & Statistics,0.884615385,87,93,18499
"Alsharhan, A. S.",Middle East Geological and Environmental Establishment,are,76,1985,2019,48031,3037,30,23.33333333,15,642,48,2589,68,2970,3.708381384,2139,1.419822347,72,0.038,56651,3157,30,23.5,15,662,48,2675,68,3082,3.704775054,2180,1.448165138,72,0,18,Geology,0.263157895,Geochemistry & Geophysics,0.184210526,Earth & Environmental Sciences,0.75,69,60,15255
"Khadkikar, Vinod",Khalifa University of Science and Technology,are,129,2004,2022,49033,4768,37,18.93333333,3,556,25,1776,75,3226,3.701267585,3873,1.231087013,110,0.0557,55243,5049,39,19.43333333,3,562,25,1865,75,3396,3.71273592,4050,1.246666667,113,0,236,Electrical & Electronic Engineering,0.581395349,Energy,0.310077519,Engineering,0.635658915,142,122,106549
"Elwakil, A. S.",University of Sharjah,are,327,1997,2022,50080,4835,35,20.44166667,16,490,82,1760,193,3131,3.694514462,2564,1.885725429,266,0.3028,38418,6935,41,24.88333333,16,582,82,2184,193,4222,3.827790497,3057,2.268563952,296,0,48,Electrical & Electronic Engineering,0.432515337,Networking & Telecommunications,0.13803681,Engineering,0.542944785,93,126,106549
"Zeineldin, Hatem H.",Khalifa University of Science and Technology,are,195,2003,2022,50681,6177,45,23.03333333,4,123,36,1909,108,3920,3.690616957,4737,1.303989867,166,0.0615,57090,6582,46,23.9,4,130,36,1999,108,4135,3.702310104,4958,1.327551432,169,1,111,Energy,0.671794872,Electrical & Electronic Engineering,0.21025641,Enabling & Strategic Technologies,0.682051282,642,559,265592
"Taylor, David",Gulf Medical University,are,168,1965,2020,51568,3981,30,19.8504329,53,572,88,2300,140,3246,3.684612878,3618,1.100331675,126,0.0733,58519,4296,31,20.18376623,53,602,88,2370,140,3402,3.693954692,3792,1.132911392,128,0,35,Neurology & Neurosurgery,0.19047619,Medical Informatics,0.130952381,Clinical Medicine,0.672619048,4052,3671,305851
"Ben-Daya, Mohamed",American University of Sharjah,are,80,1993,2022,51991,3944,34,20.11666667,8,303,45,2779,74,3731,3.681650639,3146,1.253655435,72,0.0355,61165,4089,35,20.11666667,8,306,45,2840,74,3862,3.678663315,3230,1.265944272,73,0,141,Operations Research,0.670886076,Business & Management,0.088607595,Engineering,0.746835443,185,161,26588
"Stip, E.",College of Medicine and Health Sciences United Arab Emirates University,are,336,1987,2022,52710,7322,44,21.09590548,29,187,112,1325,193,3441,3.676860305,6247,1.1720826,282,0.1216,52411,8336,46,23.02252886,29,226,112,1489,193,3918,3.7306633,6722,1.240107111,298,0,37,Psychiatry,0.571428571,Experimental Psychology,0.083333333,Clinical Medicine,0.880952381,1029,1048,71064
"Annese, Vito",Fakeeh University Hospital,are,324,1982,2022,55440,20052,67,16.92614338,10,22,62,2370,114,3625,3.659920271,15612,1.284396618,283,0.1817,57627,24503,73,17.53073991,10,22,62,2688,114,4054,3.699193421,17982,1.362640418,287,0,111,Gastroenterology & Hepatology,0.567901235,Developmental Biology,0.055555556,Clinical Medicine,0.851851852,841,840,95371
"Mellahi, Kamel",Centre for Responsible Business,are,130,2000,2022,56444,5174,37,22.0537415,8,212,43,1499,92,3639,3.653943104,4140,1.249758454,122,0.0999,57025,5748,39,24.82040816,8,236,43,1659,92,3994,3.702663234,4390,1.309339408,123,0,118,Business & Management,0.535433071,Industrial Relations,0.102362205,Economics & Business,0.937007874,482,548,48100
"Khan, Naveed Ahmed",College of Medicine,are,297,2000,2022,56599,4076,30,18.95238095,6,730,34,1277,222,3382,3.653008921,2440,1.670491803,235,0.2957,43436,5787,36,22.4547619,6,852,34,1658,222,4786,3.79050255,2817,2.054313099,251,0,59,Microbiology,0.292929293,Mycology & Parasitology,0.218855219,Biomedical Research,0.579124579,1090,1437,175943
"Diabat, Ali",NYU Abu Dhabi,are,164,2009,2022,58304,5960,40,23.4,2,80,31,1972,102,4193,3.643209366,4380,1.360730594,149,0.1253,56047,6814,44,25.06666667,2,102,31,2262,102,4782,3.70839247,4681,1.455671865,153,1,182,Operations Research,0.475609756,Environmental Sciences,0.097560976,Engineering,0.609756098,168,179,26588
"Ghobarah, A.",United Arab Emirates University,are,104,1971,2020,58889,3563,32,20.79166667,8,316,48,2213,81,3078,3.639772806,2788,1.277977044,86,0.0601,67983,3791,33,20.95833333,8,316,48,2288,81,3258,3.642599856,2917,1.2996229,86,0,117,Civil Engineering,0.557692308,"Strategic, Defence & Security Studies",0.230769231,Engineering,0.663461538,103,86,50610
"Saint-Paul, Gilles",NYU Abu Dhabi,are,93,1991,2021,61281,2472,23,19.33333333,53,1393,59,1743,69,2450,3.626526999,2217,1.115020298,66,0.0256,72614,2537,23,19.33333333,53,1430,59,1793,69,2513,3.619819713,2260,1.122566372,68,0,24,Economics,0.913978495,Economic Theory,0.032258065,Economics & Business,0.989247312,526,498,41570
"Chouaib, Salem",Gulf Medical University,are,342,1982,2022,61470,15273,58,21.32905689,8,19,39,1090,180,6004,3.62548784,13665,1.117672887,305,0.2227,52132,19650,64,23.07203308,8,36,39,1230,180,6902,3.732315967,16828,1.167696696,311,6,95,Immunology,0.438596491,Oncology & Carcinogenesis,0.315789474,Clinical Medicine,0.84502924,1570,1848,138599
"Daqaq, Mohammed F.",NYU Abu Dhabi,are,141,2001,2022,61524,3737,32,16.81666667,8,603,30,1481,117,3196,3.62518913,2395,1.560334029,102,0.1038,66145,4170,32,17.9,8,650,30,1616,117,3556,3.652233224,2559,1.62954279,108,0,36,Acoustics,0.262411348,Design Practice & Management,0.163120567,Physics & Astronomy,0.446808511,151,129,32254
"Hariga, Moncer",American University of Sharjah,are,75,1993,2022,65308,2356,28,21,25,696,50,1679,65,2219,3.604264894,1855,1.270080863,69,0.0324,74144,2435,30,21.33333333,25,712,50,1732,65,2285,3.61266478,1899,1.282253818,70,0,79,Operations Research,0.773333333,Building & Construction,0.04,Engineering,0.813333333,248,216,26588
"Novas, Fernando E.",Museo Argentino de Ciencias Naturales Bernardino Rivadavia,arg,109,1989,2022,65264,3031,33,16.64731559,7,701,31,1524,75,2403,3.604515666,1580,1.91835443,101,0.1907,63930,3745,35,17.76795051,7,773,31,1784,75,2900,3.664001814,1811,2.067918277,,,,,,,,,,,,
"Rey, Rodolfo A.",Hospital de Ninos Ricardo Gutierrez,arg,176,1992,2022,66252,5116,45,16.9781209,20,190,45,1481,104,2645,3.599171984,3332,1.535414166,149,0.2576,52048,6891,51,19.92299824,20,260,45,1948,104,3651,3.732837465,3732,1.846463023,,,,,,,,,,,,
"Leiguarda, Ramón",Universidad de Buenos Aires,arg,181,1951,2016,67411,8941,52,19.29007937,5,53,25,1000,101,4212,3.592654275,7670,1.165710561,162,0.0614,75507,9526,54,20.15793651,5,55,25,1031,101,4450,3.605908235,7986,1.192837466,,,,,,,,,,,,
"Austin, Amy T.",Instituto de Investigaciones Fisiologicas y Ecologicas,arg,71,1998,2022,67921,6067,31,13.91210331,5,183,22,2972,43,3757,3.590003846,4893,1.2399346,65,0.0848,71563,6629,34,14.41210331,5,205,22,3164,43,4066,3.625088653,5157,1.28543727,,,,,,,,,,,,
"Brenner, Rodolfo R.",Instituto de Investigaciones Bioquimicas de La Plata (CONICET- Universidad Nacional de La Plata),arg,225,1962,2017,68349,2906,26,17.84404762,20,905,43,1265,202,2635,3.587751338,2205,1.317913832,173,0.1286,69656,3335,28,19.87738095,20,931,43,1330,202,3025,3.634329585,2320,1.4375,,,,,,,,,,,,
"Harach, H. Ruben",Dr. A. Oñativia Hospital,arg,93,1980,2015,70891,3595,29,17.90646825,23,276,72,2364,78,2613,3.574839105,2914,1.233699382,83,0.0763,82754,3892,29,17.90646825,23,286,72,2437,78,2692,3.573282139,3101,1.255079007,,,,,,,,,,,,
"Colombo, María Isabel",Consejo Nacional de Investigaciones Científicas y Técnicas,arg,135,1985,2022,70976,12821,44,19.85122812,4,68,17,445,77,5579,3.57439452,10608,1.208616139,126,0.1704,73870,15454,46,20.5774186,4,79,17,496,77,5994,3.613759719,12517,1.234640888,,,,,,,,,,,,
"Frasch, Alberto C.",Instituto Tecnológico Chascomús,arg,175,1978,2022,73610,7652,41,19.98629164,4,274,18,380,84,2475,3.561563381,4889,1.565146247,167,0.1977,68478,9537,47,22.15726233,4,300,18,416,84,3158,3.640243492,5435,1.75473781,,,,,,,,,,,,
"Jagla, E. A.",Consejo Nacional de Investigaciones Científicas y Técnicas,arg,93,1993,2022,73630,1901,24,19.29166667,40,1227,57,1513,81,1688,3.56146911,1436,1.323816156,85,0.1433,76456,2219,25,20.29166667,40,1325,57,1700,81,1927,3.601391017,1581,1.403542062,,,,,,,,,,,,
"Zaritzky, Noemi E.","Facultad de Ingeniería, Universidad Nacional de La Plata",arg,271,1979,2022,73799,8070,49,27.58095238,7,97,11,125,201,6350,3.560643463,6559,1.230370483,239,0.1069,78554,9036,50,28.69761905,7,109,11,143,201,7032,3.59193627,6926,1.304649148,,,,,,,,,,,,
"Casini, Horacio",Centro Atomico Bariloche,arg,73,1994,2022,74175,3595,26,15.66666667,10,244,53,3145,61,3201,3.558712867,1854,1.939050701,66,0.1281,71458,4123,29,17.08333333,10,304,53,3508,61,3576,3.625589614,2004,2.05738523,,,,,,,,,,,,
"Polack, Fernando P.",Fundación INFANT,arg,125,1995,2022,74644,8210,34,10.69012913,4,79,23,3718,69,5467,3.556565287,7081,1.159440757,107,0.1297,76340,9434,38,11.52989443,4,82,23,4002,69,5967,3.60199251,7739,1.219020545,,,,,,,,,,,,
"Paz, Juan Pablo",Instituto de Física de Buenos Aires (IFIBA),arg,104,1985,2022,74702,5688,36,20.81666667,6,127,21,1019,67,3015,3.556302895,4178,1.361416946,97,0.0871,81730,6231,37,21.95952381,6,135,21,1078,67,3247,3.57788426,4406,1.414207898,,,,,,,,,,,,
"Manes, Facundo",Consejo Nacional de Investigaciones Científicas y Técnicas,arg,231,1995,2022,76856,11750,51,18.35183567,3,26,17,1231,90,3560,3.546161857,9182,1.27967763,213,0.2632,69381,15948,58,20.83889612,3,30,17,1366,90,4322,3.635661561,10854,1.469320066,,,,,,,,,,,,
"Puntarulo, Susana",Universidad de Buenos Aires,arg,150,1984,2022,78391,4814,34,17.6702381,1,219,28,786,121,3600,3.538989406,4081,1.17961284,132,0.1499,73963,5663,39,20.53690476,1,227,28,880,121,4208,3.613406735,4398,1.287630741,,,,,,,,,,,,
"Pol, Diego",Museo Paleontologico Egidio Feruglio,arg,123,2000,2022,78567,3507,37,19.91865079,4,205,28,1290,67,1926,3.53804627,2124,1.651129944,106,0.2147,72918,4466,41,21.89642857,4,234,28,1533,67,2371,3.618351208,2459,1.816185441,,,,,,,,,,,,
"Barrantes, Francisco J.",Pontificia Universidad Catolica Argentina,arg,221,1970,2022,80020,3397,32,19.91468254,40,416,56,572,180,2746,3.531586723,2434,1.395645029,173,0.2987,54381,4844,40,24.16468254,40,648,56,871,180,3895,3.718193034,2774,1.746214852,,,,,,,,,,,,
"Roulet, E.",Instituto Balseiro,arg,208,1987,2022,80470,7695,42,16.09725703,11,297,21,478,80,1955,3.529572408,5358,1.436170213,172,0.4689,70847,14490,55,16.82766872,11,297,21,487,80,2209,3.628656557,7892,1.836036493,,,,,,,,,,,,
"Chatrchyan, S.",Yerevan Physics Institute,arm,331,1989,2018,45027,22608,62,3.189426334,4,45,308,21708,312,21708,3.729322609,14680,1.540054496,317,0.4088,27809,38240,87,3.704081295,4,45,308,36666,312,36667,3.923341113,20071,1.905236411,325,0,902,Nuclear & Particle Physics,0.818731118,General Physics,0.135951662,Physics & Astronomy,1,502,722,141567
"Chaban, Vitaly V.",Yerevan State University,arm,125,2006,2022,125202,1945,23,14.75757576,20,255,78,1338,100,1636,3.359808012,1438,1.352573018,125,0.2571,97231,2618,27,18.79924242,20,358,78,1748,100,2147,3.514043299,1663,1.574263379,125,0,7,Chemical Physics,0.496,Physical Chemistry,0.144,Physics & Astronomy,0.504,2100,2497,95895
"Aroutiounian, Vladimir M.",Yerevan State University,arm,192,1992,2022,171052,1812,21,10.05952381,14,198,79,1253,110,1503,3.231456937,1631,1.110974862,104,0.218,153205,2317,24,11.92896825,14,235,79,1495,110,1809,3.335071947,1818,1.274477448,150,4,72,Applied Physics,0.544502618,Optoelectronics & Photonics,0.130890052,Physics & Astronomy,0.623036649,4641,4960,289917
"Sirunyan, A. M.",Yerevan Physics Institute,arm,1100,2001,2022,202667,41972,81,0.902932702,0,0,451,7033,451,7033,3.157930899,20030,2.095456815,1048,0.4153,135131,71782,111,1.460639658,0,0,451,12334,451,12334,3.385864012,26349,2.724277961,1076,0,1238,Nuclear & Particle Physics,0.860909091,General Physics,0.112727273,Physics & Astronomy,1,2559,3307,141567
"Chilingarian, A.",Yerevan Physics Institute,arm,230,1973,2022,237305,4226,33,8.575499455,14,55,93,514,104,559,3.087204634,3129,1.350591243,173,0.4723,122825,8009,46,11.86025782,14,118,93,1099,104,1178,3.424052901,4683,1.710228486,198,0,66,Nuclear & Particle Physics,0.565217391,Astronomy & Astrophysics,0.234782609,Physics & Astronomy,0.852173913,2309,3826,141567
"Saharian, A. A.",Yerevan State University,arm,211,1990,2022,304076,992,14,10.36666667,35,169,90,394,169,857,2.971645595,531,1.868173258,130,0.6446,89384,2791,27,21.5,35,518,90,1124,169,2272,3.544938521,765,3.648366013,179,0,1,Nuclear & Particle Physics,0.663507109,Astronomy & Astrophysics,0.123222749,Physics & Astronomy,0.985781991,1687,4896,141567
"Ryan, Richard M.",Australian Catholic University,aus,287,1980,2022,113,114496,117,57.98777056,13,2610,62,44296,198,93491,5.03192725,63261,1.809898674,274,0.0401,129,119278,120,59.65681818,13,2786,62,45326,198,96370,5.033401252,63733,1.871526525,276,0,1226,Social Psychology,0.41754386,Education,0.10877193,Psychology & Cognitive Sciences,0.670175439,3,3,21288
"Baumeister, Roy F.",The University of Queensland,aus,440,1976,2022,116,73051,111,61.77662338,50,5680,176,41430,341,59648,5.024747606,48459,1.507480551,406,0.0429,138,76323,115,62.60995671,50,5870,176,42568,341,61983,5.023442862,49062,1.555643879,411,0,354,Social Psychology,0.547126437,Experimental Psychology,0.12183908,Psychology & Cognitive Sciences,0.873563218,4,4,21288
"Burnstock, Geoffrey",University of Melbourne,aus,1419,1957,2022,143,56657,104,76.43276383,204,11978,318,17509,1173,43148,5.004414142,27858,2.033778448,1276,0.1769,96,68834,118,84.98706786,204,13848,318,20538,1173,52222,5.081365477,29416,2.340019037,1298,3,327,Neurology & Neurosurgery,0.307313643,Pharmacology & Pharmacy,0.232067511,Clinical Medicine,0.824894515,10,18,305851
"Marsh, Herbert W.",Australian Catholic University,aus,432,1969,2022,159,46242,105,69.84166667,62,7963,246,34172,304,39674,4.985290871,29181,1.584661252,419,0.1049,141,51664,113,73.94087302,62,8675,246,37550,304,43802,5.019217051,29812,1.732993425,422,0,509,Education,0.476851852,Social Sciences Methods,0.145833333,Social Sciences,0.678240741,1,1,79338
"Green, Martin",UNSW Sydney,aus,907,1971,2022,196,55566,105,59.70680651,128,7111,266,29513,653,44625,4.955006469,39781,1.396797466,769,0.0703,200,59768,111,62.23055498,128,7371,266,30560,653,47457,4.968133839,40909,1.460998802,781,1,586,Applied Physics,0.704318937,Nanoscience & Nanotechnology,0.087486157,Physics & Astronomy,0.763012182,11,11,289917
"Talley, Nicholas J.","The University of Newcastle, Australia",aus,1413,1984,2022,277,66957,137,66.34664928,166,2490,372,17099,836,36517,4.890345314,36646,1.827129837,1064,0.1439,235,78210,148,71.80545159,166,2758,372,20105,836,42756,4.944098902,39010,2.004870546,1088,0,617,Gastroenterology & Hepatology,0.50997151,General & Internal Medicine,0.086894587,Clinical Medicine,0.918803419,3,4,95371
"Kanis, John A.",Australian Catholic University,aus,922,1973,2022,330,83402,123,45.66487592,60,2270,272,26712,575,45380,4.856920886,53085,1.571102948,796,0.1247,283,95286,137,49.29830423,60,2362,272,30503,575,51827,4.905187482,55731,1.709748614,822,1,841,Endocrinology & Metabolism,0.458785249,General & Internal Medicine,0.098698482,Clinical Medicine,0.886117137,13,15,84176
"Caruso, Frank",University of Melbourne,aus,567,1991,2022,370,49940,116,59.60349738,5,3357,42,13312,438,43554,4.834895934,30641,1.629842368,537,0.134,338,57669,126,63.92754139,5,3450,42,14348,438,49610,4.871961343,32145,1.794027065,544,0,729,Nanoscience & Nanotechnology,0.325088339,Chemical Physics,0.16254417,Enabling & Strategic Technologies,0.471731449,11,13,103235
"Jorm, Anthony F.",Melbourne School of Population and Global Health,aus,741,1977,2022,418,44982,100,55.33120879,97,5518,247,17846,445,24514,4.804930783,33733,1.333471675,679,0.1076,398,50407,106,60.52053058,97,5709,247,19444,445,27520,4.840147185,35233,1.430675787,691,0,270,Psychiatry,0.50877193,Geriatrics,0.0634278,Clinical Medicine,0.750337382,11,13,71064
"Zimmet, Paul","Faculty of Medicine, Nursing and Health Sciences",aus,767,1968,2022,515,96724,109,44.96750321,46,1721,136,12275,370,49064,4.764079756,76646,1.261957571,691,0.0583,538,102716,117,47.36955949,46,1808,136,12746,370,50539,4.780421398,79278,1.29564318,698,1,1834,Endocrinology & Metabolism,0.45620915,General & Internal Medicine,0.138562092,Clinical Medicine,0.877124183,24,24,84176
"Shine, Richard",Macquarie University,aus,996,1977,2022,531,33939,84,64.89576503,69,5527,209,10680,830,28225,4.755380752,17801,1.906578282,957,0.2391,378,44603,98,72.43862217,69,6316,209,13060,830,37326,4.854247934,19147,2.329503316,979,0,69,Ecology,0.441742655,Evolutionary Biology,0.185410334,Biology,0.806484296,6,7,59970
"Kivshar, Yuri S.",The Australian National University,aus,1799,1983,2022,552,59704,107,64.53367923,48,1223,162,9499,1360,47505,4.746452343,34092,1.751261293,1129,0.1701,476,71943,121,69.75428917,48,1319,162,10364,1360,56561,4.80380942,37149,1.936606638,1157,2,106,Optics,0.343839542,Optoelectronics & Photonics,0.19025788,Physics & Astronomy,0.705444126,2,2,64044
"Dai, Liming",UNSW Sydney,aus,638,1989,2022,680,71762,135,55.25757894,33,1166,68,5140,340,43948,4.709355056,49578,1.447456533,585,0.0879,644,78676,141,58.81829323,33,1364,68,5835,340,47679,4.745100242,51476,1.528401585,598,8,654,Nanoscience & Nanotechnology,0.325984252,Applied Physics,0.088188976,Enabling & Strategic Technologies,0.499212598,22,21,103235
"Smyth, Gordon K.",Walter and Eliza Hall Institute of Medical Research,aus,254,1985,2022,682,83972,75,25.95215049,6,8808,17,11659,59,50219,4.709039935,64190,1.308178844,238,0.0339,747,86916,81,27.24409188,6,8906,17,11840,59,51105,4.719650051,65467,1.327630715,241,0,202,Developmental Biology,0.271653543,Immunology,0.224409449,Clinical Medicine,0.381889764,44,44,127685
